iter	Passed	Remaining
410	4043	5794
411	4053	5784
412	4062	5773
413	4072	5763
414	4244	5983
415	4279	6007
416	4291	5999
417	4305	5995
418	4317	5986
419	4326	5974
420	4335	5962
421	4344	5951
422	4359	5947
423	4370	5937
424	4380	5926
425	4389	5914
426	4400	5904
427	4413	5898
428	4425	5890
429	4436	5880
430	4448	5873
431	4464	5870
432	4475	5860
433	4485	5849
434	4494	5838
435	4504	5827
436	4514	5816
437	4525	5806
438	4535	5796
439	4546	5785
440	4554	5773
441	4569	5769
442	4579	5758
443	4589	5747
444	4603	5741
445	4615	5733
446	4624	5721
447	4632	5708
448	4641	5695
449	4649	5682
450	4657	5670
451	4667	5659
452	4734	5716
453	4762	5728
454	4793	5742
455	4804	5731
456	4813	5719
457	4823	5707
458	4834	5697
459	4844	5686
460	4854	5675
461	4863	5663
462	4873	5652
463	4884	5642
464	4895	5632
465	4905	5621
466	4915	5610
467	4927	5601
468	4939	5592
469	4951	5583
470	4963	5574
471	4975	5565
472	4984	5553
473	4992	5540
474	5000	5526
475	5009	5514
476	5018	5502
477	5027	5490
478	5044	5487
479	5056	5477
480	5070	5471
481	5081	5461
482	5092	5450
483	5101	5439
484	5111	5427
485	5121	5416
486	5130	5404
487	5140	5392
488	5148	5380
489	5157	5368
490	5167	5356
491	5176	5345
492	5185	5333
493	5194	5320
494	5203	5308
495	5213	5297
496	5224	5287
497	5233	5275
498	5242	5263
499	5251	5251
500	5260	5239
501	5269	5227
502	5278	5215
503	5287	5203
504	5296	5191
505	5305	5179
506	5314	5167
507	5324	5156
508	5332	5144
509	5342	5132
510	5351	5121
511	5361	5110
512	5371	5099
513	5380	5087
514	5389	5075
515	5398	5063
516	5407	5052
517	5417	5040
518	5426	5029
519	5436	5018
520	5446	5007
521	5455	4995
522	5465	4984
523	5475	4974
524	5485	4963
525	5495	4952
526	5504	4940
527	5513	4929
528	5523	4917
529	5532	4906
530	5542	4895
531	5552	4884
532	5561	4872
533	5573	4863
534	5584	4854
535	5596	4844
536	5605	4832
537	5614	4821
538	5623	4809
539	5633	4798
540	5641	4786
541	5650	4774
542	5659	4763
543	5668	4751
544	5677	4740
545	5687	4729
546	5696	4717
547	5705	4706
548	5715	4695
549	5724	4683
550	5733	4672
551	5742	4660
552	5751	4648
553	5759	4636
554	5768	4625
555	5776	4613
556	5785	4601
557	5793	4588
558	5801	4576
559	5809	4564
560	5817	4552
561	5826	4540
562	5834	4529
563	5843	4517
564	5854	4507
565	5866	4498
566	5878	4488
567	5893	4482
568	5903	4472
569	5913	4461
570	5922	4450
571	5932	4438
572	5941	4427
573	5949	4415
574	5960	4405
575	5969	4394
576	5978	4382
577	5987	4371
578	5997	4360
579	6007	4350
580	6018	4340
581	6028	4329
582	6038	4318
583	6050	4309
584	6060	4299
585	6070	4289
586	6081	4278
587	6090	4267
588	6100	4256
589	6108	4245
590	6118	4234
591	6137	4229
592	6174	4237
593	6267	4283
594	6312	4296
595	6326	4288
596	6338	4279
597	6354	4271
598	6365	4261
599	6376	4251
600	6387	4240
601	6398	4230
602	6408	4219
603	6420	4209
604	6431	4198
605	6441	4188
606	6453	4178
607	6466	4168
608	6476	4158
609	6490	4149
610	6502	4139
611	6515	4130
612	6525	4119
613	6533	4107
614	6541	4095
615	6550	4083
616	6558	4071
617	6566	4058
618	6574	4046
619	6583	4035
620	6592	4023
621	6601	4011
622	6609	3999
623	6617	3987
624	6625	3975
625	6633	3963
626	6641	3951
627	6650	3939
628	6659	3927
629	6667	3915
630	6676	3904
631	6684	3892
632	6693	3880
633	6701	3868
634	6709	3856
635	6717	3844
636	6726	3833
637	6734	3821
638	6742	3809
639	6750	3797
640	6758	3785
641	6766	3773
642	6775	3762
643	6784	3750
644	6793	3738
645	6801	3727
646	6810	3715
647	6818	3704
648	6831	3694
649	6839	3683
650	6848	3671
651	6857	3660
652	6865	3648
653	6873	3636
654	6881	3624
655	6892	3614
656	6901	3603
657	6908	3590
658	6917	3579
659	6925	3567
660	6933	3555
661	6941	3544
662	6950	3532
663	6959	3521
664	6967	3509
665	6975	3498
666	6984	3486
667	6992	3475
668	7001	3463
669	7011	3453
670	7022	3443
671	7032	3432
672	7042	3421
673	7051	3410
674	7062	3400
675	7128	3416
676	7250	3459
677	7282	3458
678	7317	3459
679	7329	3449
680	7341	3438
681	7350	3427
682	7375	3423
683	7409	3423
684	7422	3413
685	7430	3400
686	7439	3389
687	7446	3377
688	7455	3365
689	7463	3353
690	7471	3341
691	7480	3329
692	7488	3317
693	7497	3305
694	7505	3293
695	7513	3281
696	7521	3269
697	7529	3257
698	7536	3245
699	7545	3233
700	7553	3221
701	7561	3209
702	7570	3198
703	7578	3186
704	7587	3174
705	7595	3163
706	7604	3151
707	7612	3139
708	7621	3128
709	7630	3116
710	7638	3104
711	7647	3093
712	7661	3083
713	7673	3073
714	7737	3084
715	7754	3075
716	7765	3064
717	7775	3053
718	7790	3044
719	7802	3034
720	7813	3023
721	7824	3012
722	7836	3002
723	7848	2991
724	7860	2981
725	7885	2975
726	7910	2970
727	7923	2960
728	7937	2950
729	7948	2939
730	7958	2928
731	7967	2917
732	8009	2917
733	8020	2906
734	8029	2894
735	8038	2883
736	8046	2871
737	8054	2859
738	8063	2847
739	8070	2835
740	8078	2823
741	8087	2812
742	8096	2800
743	8105	2788
744	8113	2776
745	8121	2765
746	8129	2753
747	8137	2741
748	8146	2729
749	8155	2718
750	8162	2706
751	8170	2694
752	8180	2683
753	8190	2672
754	8198	2660
755	8206	2648
756	8215	2637
757	8223	2625
758	8232	2613
759	8240	2602
760	8249	2590
761	8257	2578
762	8265	2567
763	8273	2555
764	8282	2544
765	8289	2532
766	8297	2520
767	8306	2509
768	8314	2497
769	8322	2486
770	8330	2474
771	8338	2462
772	8347	2451
773	8356	2439
774	8365	2428
775	8374	2417
776	8388	2407
777	8399	2396
778	8409	2385
779	8420	2375
780	8430	2364
781	8441	2353
782	8454	2343
783	8464	2332
784	8475	2321
785	8485	2310
786	8494	2299
787	8504	2287
788	8514	2276
789	8524	2266
790	8534	2255
791	8547	2244
792	8559	2234
793	8572	2224
794	8584	2213
795	8597	2203
796	8608	2192
797	8618	2181
798	8627	2170
799	8637	2159
800	8647	2148
801	8657	2137
802	8667	2126
803	8678	2115
804	8688	2104
805	8699	2093
806	8710	2083
807	8719	2072
808	8728	2060
809	8737	2049
810	8748	2038
811	8758	2027
812	8768	2016
813	8779	2006
814	8789	1995
815	8798	1983
816	8809	1973
817	8818	1962
818	8828	1951
819	8838	1940
820	8851	1929
821	8869	1920
822	8880	1909
823	8891	1899
824	8901	1888
825	8911	1877
826	8920	1866
827	8931	1855
828	8940	1844
829	8950	1833
830	8960	1822
831	8968	1811
832	8977	1799
833	8993	1790
834	9013	1781
835	9049	1775
836	9090	1770
837	9139	1766
838	9251	1775
839	9340	1779
840	9388	1774
841	9397	1763
842	9406	1751
843	9415	1740
844	9424	1728
845	9433	1717
846	9441	1705
847	9449	1693
848	9458	1682
849	9467	1670
850	9475	1659
851	9483	1647
852	9491	1635
853	9499	1624
854	9507	1612
855	9515	1600
856	9524	1589
857	9532	1577
858	9541	1566
859	9549	1554
860	9558	1543
861	9567	1531
862	9574	1519
863	9582	1508
864	9591	1496
865	9599	1485
866	9608	1473
867	9616	1462
868	9624	1450
869	9633	1439
870	9642	1428
871	9650	1416
872	9658	1405
873	9667	1393
874	9675	1382
875	9684	1370
876	9693	1359
877	9701	1347
878	9709	1336
879	9717	1325
880	9725	1313
881	9734	1302
882	9742	1290
883	9750	1279
884	9759	1268
885	9768	1256
886	9777	1245
887	9785	1234
888	9793	1222
889	9800	1211
890	9809	1200
891	9817	1188
892	9825	1177
893	9834	1166
894	9842	1154
895	9851	1143
896	9860	1132
897	9868	1120
898	9876	1109
899	9884	1098
900	9893	1087
901	9901	1075
902	9908	1064
903	9917	1053
904	9925	1041
905	9933	1030
906	9942	1019
907	9951	1008
908	9960	997
909	9968	985
910	9982	975
911	9993	964
912	10002	953
913	10012	942
914	10020	930
915	10028	919
916	10036	908
917	10044	897
918	10055	886
919	10063	875
920	10072	863
921	10085	853
922	10094	842
923	10102	830
924	10111	819
925	10120	808
926	10129	797
927	10138	786
928	10146	775
929	10155	764
930	10163	753
931	10172	742
932	10181	731
933	10190	720
934	10200	709
935	10208	698
936	10218	687
937	10227	676
938	10236	664
939	10245	653
940	10254	642
941	10262	631
942	10272	620
943	10281	609
944	10290	598
945	10299	587
946	10308	576
947	10318	565
948	10329	555
949	10338	544
950	10347	533
951	10356	522
952	10366	511
953	10374	500
954	10383	489
955	10392	478
956	10401	467
957	10409	456
958	10417	445
959	10426	434
960	10435	423
961	10445	412
962	10454	401
963	10463	390
964	10472	379
965	10482	368
966	10491	358
967	10500	347
968	10508	336
969	10517	325
970	10527	314
971	10536	303
972	10545	292
973	10555	281
974	10564	270
975	10574	260
976	10583	249
977	10594	238
978	10604	227
979	10616	216
980	10626	205
981	10636	194
982	10645	184
983	10655	173
984	10664	162
985	10673	151
986	10680	140
987	10689	129
988	10698	118
989	10707	108
990	10715	97
991	10723	86
992	10731	75
993	10740	64
994	10749	54
995	10757	43
996	10765	32
997	10773	21
998	10781	10
999	10789	0
