iter	RMSE
0	23.87673967
1	23.69478708
2	23.54651058
3	23.39704578
4	23.2680454
5	23.14685478
6	23.03313152
7	22.8962792
8	22.78987718
9	22.66383617
10	22.55127128
11	22.45576423
12	22.37998087
13	22.27510665
14	22.20993022
15	22.12787978
16	22.06099692
17	22.00557232
18	21.90924086
19	21.81591697
20	21.74189665
21	21.67464006
22	21.63228905
23	21.57708043
24	21.51866125
25	21.46995933
26	21.41755031
27	21.36844125
28	21.31925489
29	21.27910994
30	21.22708918
31	21.20066288
32	21.16106716
33	21.10896357
34	21.0712352
35	21.01831509
36	20.99987834
37	20.96894586
38	20.94657569
39	20.92204886
40	20.89041492
41	20.84022714
42	20.81714817
43	20.76268684
44	20.71724846
45	20.70202229
46	20.66106631
47	20.63310508
48	20.60158515
49	20.58100863
50	20.55639372
51	20.51618753
52	20.47698792
53	20.4487452
54	20.43232834
55	20.40398823
56	20.37550053
57	20.34899181
58	20.30819149
59	20.29317584
60	20.2733945
61	20.24338022
62	20.22584336
63	20.19789973
64	20.16829099
65	20.14471427
66	20.13193965
67	20.11782702
68	20.09621139
69	20.07919649
70	20.0371612
71	20.02175705
72	19.99150842
73	19.97639487
74	19.94349283
75	19.92661113
76	19.91663334
77	19.89976201
78	19.89287982
79	19.87971631
80	19.8641772
81	19.84303144
82	19.8273651
83	19.81050372
84	19.79127551
85	19.77816353
86	19.77043379
87	19.76254103
88	19.74167693
89	19.72878272
90	19.71039252
91	19.69312401
92	19.67371637
93	19.65867737
94	19.64278479
95	19.63104185
96	19.61599254
97	19.58845507
98	19.5700015
99	19.55495141
100	19.54638738
101	19.53607211
102	19.51859998
103	19.50284048
104	19.49071848
105	19.4762128
106	19.46858471
107	19.45862447
108	19.43437007
109	19.41698391
110	19.40057219
111	19.38711458
112	19.37455826
113	19.36644328
114	19.34997786
115	19.3428516
116	19.32858873
117	19.31782755
118	19.31152527
119	19.29513133
120	19.27342576
121	19.25876657
122	19.24521226
123	19.23605354
124	19.22146152
125	19.20876499
126	19.18924626
127	19.16726009
128	19.15797637
129	19.15562885
130	19.14496085
131	19.12558383
132	19.1127515
133	19.09618293
134	19.09025715
135	19.08206546
136	19.07129048
137	19.06551668
138	19.05527074
139	19.03641784
140	19.02833694
141	19.015495
142	19.00540968
143	18.98093295
144	18.97367019
145	18.96861607
146	18.94707444
147	18.94057787
148	18.93055796
149	18.9245192
150	18.90944417
151	18.89428473
152	18.88915817
153	18.87636251
154	18.86370809
155	18.8503155
156	18.84323712
157	18.83579648
158	18.82605046
159	18.81844649
160	18.81435567
161	18.80522779
162	18.7928757
163	18.78322569
164	18.77517493
165	18.77107604
166	18.76984874
167	18.75937679
168	18.75239748
169	18.73916303
170	18.73037133
171	18.71524618
172	18.70437988
173	18.70156692
174	18.70010762
175	18.69178851
176	18.68307919
177	18.6822486
178	18.67055078
179	18.64775112
180	18.63726536
181	18.63313401
182	18.61780258
183	18.60854296
184	18.5955379
185	18.58759422
186	18.58237712
187	18.56822723
188	18.55562673
189	18.54337336
190	18.54253302
191	18.53028028
192	18.51741181
193	18.50744253
194	18.49420461
195	18.48251067
196	18.47646226
197	18.45825327
198	18.44970286
199	18.44296274
200	18.43489371
201	18.42698863
202	18.41558551
203	18.40798936
204	18.3991112
205	18.38917461
206	18.37673533
207	18.37043517
208	18.35789419
209	18.34843365
210	18.33712035
211	18.32917897
212	18.32456916
213	18.32378574
214	18.3097329
215	18.30887283
216	18.29934685
217	18.28843167
218	18.28769593
219	18.27610999
220	18.26662749
221	18.26038906
222	18.25132677
223	18.25050142
224	18.23976356
225	18.22414565
226	18.21745632
227	18.20834838
228	18.19998706
229	18.18549434
230	18.17577077
231	18.1648946
232	18.15705624
233	18.14627759
234	18.14113033
235	18.13094983
236	18.1195349
237	18.1114961
238	18.10340446
239	18.08666391
240	18.0740946
241	18.06632893
242	18.06557153
243	18.05863769
244	18.05253961
245	18.05185292
246	18.04211708
247	18.03239069
248	18.02489595
249	18.01916934
250	18.01108452
251	18.00281318
252	17.99519773
253	17.98688785
254	17.96994288
255	17.96009492
256	17.95951869
257	17.95109673
258	17.94193883
259	17.93105268
260	17.91653875
261	17.90486401
262	17.89663363
263	17.88636876
264	17.87876842
265	17.87471603
266	17.86330911
267	17.8579371
268	17.85222935
269	17.84407219
270	17.83987134
271	17.83926103
272	17.83866797
273	17.82731266
274	17.8268063
275	17.81919778
276	17.81228018
277	17.80360574
278	17.7962904
279	17.79028661
280	17.78007294
281	17.77958912
282	17.77554241
283	17.76931475
284	17.76083735
285	17.75576917
286	17.75013556
287	17.74417003
288	17.73710971
289	17.73288277
290	17.72135995
291	17.70743757
292	17.70235992
293	17.69463812
294	17.69150395
295	17.68652843
296	17.67847031
297	17.67059889
298	17.66079494
299	17.65517035
300	17.65464441
301	17.65408208
302	17.65365143
303	17.6474792
304	17.64357398
305	17.63976345
